Sample number,"Alexandrium spp. 
cells L-1
(PSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)",thresholds_reached
Jan-21,0,0,0,0,0
Feb-21,0,0,0,0,0
Mar-21,0,400,0,0,0
Apr-21,0,0,0,0,0
May-21,0,0,0,0,0
Jun-21,0,0,0,0,0
Jul-21,0,0,0,0,0
Sep-21,0,0,0,0,0
Oct-21,0,0,0,0,0
Nov-21,0,0,0,0,0
Dec-21,0,0,0,0,0
13/21,0,0,0,0,0
14/21,0,0,0,0,0
15/21,0,0,0,0,0
16/21,0,0,0,0,0
17/21,0,200,0,0,0
18/21,0,0,0,0,0
19/21,0,0,0,0,0
20/21,0,0,0,0,0
21/21,0,0,0,0,0
22/21,0,200,0,0,0
23/21,0,0,0,0,0
24/21,0,0,0,0,0
25/21,0,0,0,0,0
26/21,0,0,0,0,0
27/21,0,0,0,0,0
28/21,0,0,0,0,0
29/21,0,0,0,0,0
30/21,0,0,0,0,0
31/21,0,0,0,0,0
32/21,0,0,0,0,0
33/21,0,0,0,0,0
34/21,0,0,40,0,0
35/21,0,0,0,0,0
36/21,0,0,0,0,0
37/21,0,0,0,0,0
38/21,0,0,0,0,0
39/21,0,0,0,0,0
40/21,0,0,0,0,0
41/21,0,800,0,0,0
43/21,0,0,0,0,0
44/21,0,0,0,0,0
45/21,0,0,0,0,0
46/21,0,0,0,0,0
47/21,0,0,0,0,0
48/21,0,0,0,0,0
49/21,0,0,0,0,0
50/21,0,0,0,0,0
51/21,0,0,0,0,0
52/21,0,600,0,0,0
53/21,0,0,0,0,0
55/21,0,0,0,0,0
56/21,0,0,0,0,0
57/21,0,0,0,0,0
58/21,0,0,0,0,0
59/21,0,0,0,0,0
60/21,0,0,0,0,0
61/21,0,0,0,0,0
62/21,0,0,0,0,0
63/21,0,0,0,0,0
64/21,0,0,0,0,0
65/21,0,0,0,0,0
66/21,0,0,0,0,0
67/21,0,0,0,0,0
68/21,0,0,0,0,0
69/21,0,0,0,100,1
70/21,0,0,0,0,0
71/21,0,0,0,0,0
72/21,0,0,0,0,0
73/21,0,0,0,0,0
74/21,0,0,0,0,0
75/21,0,0,0,0,0
76/21,0,800,0,0,0
78/21,0,80,0,0,0
79/21,0,200,0,0,0
80/21,0,80,0,0,0
81/21,0,0,0,0,0
82/21,0,0,0,0,0
83/21,0,0,0,0,0
84/21,0,0,0,0,0
85/21,0,0,0,0,0
86/21,0,800,0,0,0
87/21,0,0,0,0,0
88/21,0,0,0,0,0
89/21,0,0,0,0,0
90/21,0,1000,0,0,0
91/21,0,0,0,0,0
92/21,0,400,0,0,0
93/21,200,0,0,0,1
94/21,0,0,0,0,0
95/21,0,0,0,0,0
96/21,0,0,0,0,0
97/21,0,0,0,0,0
