Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) "
Jan-21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,04/01/2021,0,0,0,0,0,0,0
Feb-21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,04/01/2021,0,0,0,0,0,0,0
Mar-21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,05/01/2021,0,0,0,400,0,0,0
Apr-21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,05/01/2021,0,0,0,0,0,0,0
May-21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,06/01/2021,0,0,0,0,0,0,0
Jun-21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,11/01/2021,0,0,0,0,0,0,0
Jul-21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,11/01/2021,0,0,0,0,0,0,0
Sep-21,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,11/01/2021,0,0,0,0,0,0,0
Oct-21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,11/01/2021,0,0,0,0,0,0,0
Nov-21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,11/01/2021,0,0,0,0,0,0,0
Dec-21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,11/01/2021,0,0,0,0,0,0,0
13/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,10/01/2021,0,0,0,0,0,0,0
14/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,11/01/2021,0,0,0,0,0,0,0
